Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index	Manufacturer Part Number	Manufacturer Name	Description	Availability	Stock Status	Attrition %	Requested Quantity 1	Pack Quantity 1	Pack Type 1	Digi-Key Part Number 1	Unit Price 1	Extended Price 1	Minimum Order Quantity 1	Customer Reference	Requested Part Number	Lead Weeks	Datasheet	Reference Designator	US Import Tariff	Note	Part Status	RoHS Status	Moisture Sensitivity Level (MSL)	ECCN	HTSUS	Country of Origin	Environmental Information	Original Part numbers	Image	Product Notes
1	KS11R23CQD	C&K	SWITCH PUSH SPST-NO 0.025A 50V	500	In Stock		1	1	Bulk	CKN4082-ND	4.52000	$4.52	1		CKN4082-ND	8	https://www.ckswitches.com/media/1342/ks.pdf			-		Active	ROHS3 Compliant	1  (Unlimited)	EAR99	8536.50.9031	Vietnam		CKN4082-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/809/KS11R23CQD.jpg	
2	KS11R22CQD	C&K	SWITCH PUSH SPST-NO 0.025A 50V	32,963	In Stock		1	1	Bulk	CKN4080-ND	3.61000	$3.61	1		CKN4080-ND	8	https://www.ckswitches.com/media/1342/ks.pdf			-		Active	ROHS3 Compliant	1  (Unlimited)	EAR99	8536.50.9031	Vietnam		CKN4080-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2609/KS11R22CQD%2C%20KS11R22CQE.jpg	
3	KS11R27CQD	C&K	SWITCH PUSH SPST-NO 0.025A 50V	496	In Stock		1	1	Bulk	CKN1592-ND	4.39000	$4.39	1		CKN1592-ND	8	https://www.ckswitches.com/media/1342/ks.pdf			-		Active	ROHS3 Compliant	1  (Unlimited)	EAR99	8536.50.9031	Vietnam		CKN1592-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/731/KS11R27CQD.jpg	"No Backorders Allowed. "
4	0530470910	Molex	CONN HEADER VERT 9POS 1.25MM	41,295	In Stock		1	1	Tray	WM1738-ND	0.54000	$0.54	1		WM1738-ND	15	https://www.molex.com/pdm_docs/sd/530470910_sd.pdf			-		Active	ROHS3 Compliant	1  (Unlimited)	EAR99	8536.69.4040	Japan	https://www.molex.com/datasheets/rohspdf/0530470910_rohs.pdf	WM1738-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/416/53047-0910.jpg	
5	0530470810	Molex	CONN HEADER VERT 8POS 1.25MM	998	In Stock		1	1	Tray	WM1737-ND	0.70000	$0.70	1		WM1737-ND	15	https://www.molex.com/pdm_docs/sd/530470810_sd.pdf			-		Active	ROHS3 Compliant	1  (Unlimited)	EAR99	8536.69.4040	Japan	https://www.molex.com/datasheets/rohspdf/0530470810_rohs.pdf	WM1737-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1024/53047-0810.jpg	
6	B2B-PH-K-S	JST Sales America Inc.	CONN HEADER VERT 2POS 2MM	345,897	In Stock		2	2	Bulk	455-1704-ND	0.19000	$0.38	1		455-1704-ND	16	https://www.jst-mfg.com/product/pdf/eng/ePH.pdf			-		Active	ROHS3 Compliant	1  (Unlimited)	EAR99	8536.69.4040	Malaysia		455-1704-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1081/B2B-PH-K-S.jpg	
7	5988070107F	Dialight	LED GREEN CLEAR 0603 SMD	55,497	In Stock		1	1	Cut Tape (CT)	350-2035-1-ND	0.49000	$0.49	1		350-2035-1-ND	10	https://s3-us-west-2.amazonaws.com/catsy.557/Dialight_CBI_data_598-0603_Apr2018.pdf			-		Active	ROHS3 Compliant	3  (168 Hours)	EAR99	8541.41.0000	China		350-2035-1-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/565/598-8081-107F.JPG	
8	5988010107F	Dialight	LED RED CLEAR 0603 SMD	47,922	In Stock		1	1	Cut Tape (CT)	350-2029-1-ND	0.51000	$0.51	1		350-2029-1-ND	6	https://s3-us-west-2.amazonaws.com/catsy.557/Dialight_CBI_data_598-0603_Apr2018.pdf			-		Active	ROHS3 Compliant	3  (168 Hours)	EAR99	8541.41.0000	China		350-2029-1-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/565/598-8081-107F.JPG	
9	5988060107F	Dialight	LED YELLOW/GREEN CLEAR 0603 SMD	33,039	In Stock		2	2	Cut Tape (CT)	350-2034-1-ND	0.37000	$0.74	1		350-2034-1-ND	4	https://s3-us-west-2.amazonaws.com/catsy.557/Dialight_CBI_data_598-0603_Apr2018.pdf			-		Active	ROHS3 Compliant	3  (168 Hours)	EAR99	8541.41.0000	China		350-2034-1-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/565/598-8081-107F.JPG	
10	5988091107F	Dialight	LED BLUE CLEAR 0603 SMD	21,598	In Stock		1	1	Cut Tape (CT)	350-2037-1-ND	1.32000	$1.32	1		350-2037-1-ND	10	https://s3-us-west-2.amazonaws.com/catsy.557/Dialight_CBI_data_598-0603_Apr2018.pdf			-		Active	ROHS3 Compliant	3  (168 Hours)	EAR99	8541.41.0000	China		350-2037-1-ND	https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/565/598-8081-107F.JPG	
